Latitude;Longitude;Altitude;Date
37.1426449;-8.5449326;74.5;2023-03-13 18:11:38.415Z
37.1426554;-8.5449941;74.5;2023-03-13 18:11:39.193Z
37.1419055;-8.5592367;81.0999984741211;2023-03-13 18:11:49.885Z
37.1419068;-8.5592345;81.0999984741211;2023-03-13 18:11:55.716Z
37.141902;-8.5592385;81.0999984741211;2023-03-13 18:12:01.650Z
37.1418989;-8.5592411;81.0999984741211;2023-03-13 18:12:06.872Z
37.141892;-8.559242;81.0999984741211;2023-03-13 18:12:08.582Z
37.1418868;-8.5592438;81.0999984741211;2023-03-13 18:12:17.878Z
37.1418859;-8.559244;81.0999984741211;2023-03-13 18:12:23.716Z
37.1418859;-8.559244;81.0999984741211;2023-03-13 18:12:29.545Z
37.1418863;-8.5592437;81.0999984741211;2023-03-13 18:12:35.381Z
37.1418871;-8.5592435;81.0999984741211;2023-03-13 18:12:36.189Z
37.1418874;-8.5592433;81.0999984741211;2023-03-13 18:12:46.305Z
37.1418879;-8.5592431;81.0999984741211;2023-03-13 18:12:52.159Z
37.1418884;-8.5592429;81.0999984741211;2023-03-13 18:12:57.342Z
37.1418888;-8.5592428;81.0999984741211;2023-03-13 18:13:03.183Z
37.1418889;-8.5592428;81.0999984741211;2023-03-13 18:13:03.979Z
37.1418893;-8.5592426;81.0999984741211;2023-03-13 18:13:14.055Z
37.1418894;-8.5592426;81.0999984741211;2023-03-13 18:13:19.893Z
37.1418895;-8.5592426;81.0999984741211;2023-03-13 18:13:25.085Z
37.1418895;-8.5592426;81.0999984741211;2023-03-13 18:13:30.508Z
37.1418895;-8.5592426;81.0999984741211;2023-03-13 18:13:31.416Z
37.1418896;-8.5592426;81.0999984741211;2023-03-13 18:13:41.573Z
37.1418896;-8.5592426;81.0999984741211;2023-03-13 18:13:47.564Z
37.1418895;-8.5592426;81.0999984741211;2023-03-13 18:13:53.504Z
37.1418895;-8.5592426;81.0999984741211;2023-03-13 18:13:59.471Z
37.1418894;-8.5592426;81.0999984741211;2023-03-13 18:14:00.396Z
37.145312;-8.5406885;81.0999984741211;2023-03-13 18:14:10.451Z
37.145312;-8.5406885;81.0999984741211;2023-03-13 18:14:16.456Z
37.145312;-8.5406885;81.0999984741211;2023-03-13 18:14:22.387Z
37.145312;-8.5406885;81.0999984741211;2023-03-13 18:14:28.353Z
37.145312;-8.5406885;81.0999984741211;2023-03-13 18:14:29.171Z
37.1453304;-8.5404338;81.0999984741211;2023-03-13 18:14:39.241Z
37.1451204;-8.5403827;81.0999984741211;2023-03-13 18:14:45.062Z
37.1451431;-8.540433;81.0999984741211;2023-03-13 18:14:50.878Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:14:56.065Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:14:56.909Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:06.946Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:12.798Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:17.986Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:23.848Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:24.634Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:34.721Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:40.583Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:46.381Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:52.239Z
